1-1,Fouillee Commentary,"<p>1. Τῶν ὄντων est rapporté par Simplicius seulement à ce qui est en nous et en rapport direct avec nos (περὶ ἡμᾶς) parce qu'autrement il n’y aurait pas de proportion entre les deux membres de la dichotomie, si l'univers entier était opposé à l'homme. Mais rien n'indique cette restriction.</p>
<p>2. ἡμέτερα ἔργα, nos opérations, c'est-à-dire les opérations de notre âme. </p>
<p>3. δόξαι, ainsi placé entre κτῆσις et ἀρχαὶ, ne peut signifier que témoignages de considération, comme dans Démosthène, de Corona, 80, ἔππινοι, δόξαι, τιμαί, et non, comme l'entend Simplicius, opinion bonne ou mauvaise que les autres ont de nous. </p>"
1-2,Fouillee Commentary,<p>None</p>
1-3,Fouillee Commentary,"<p>1. οὐδὲ ἕν, sans apostrophe, a la signification de οὐδὲν renforcée, absolument rien.</p>
<p>2. ἐχθρὸν οὐχ ἕξεις, tu n’auras pas d’ennemi, parce que le propre d’un ennemi est de nuire.</p>"
1-4,Fouillee Commentary,"<p>1. τηλικούτων, les biens qui’il vient d’énumérer</p>
<p>2. μετρίως κεκινημένον, avec un mouvement de l’âme modère, c.-à-d. avec tiédeur.</p>
<p>3. ἅπτεσθαι αὐτῶν, se mettre à les rechercher. Voyez ἅπτεσθαι ἔργου signifiant se mettre à l’œuvre, plus bas, ch. Iv, xxxiv, xxxviii.</p>
<p>4. τὰ μὲν... τὰ δ(ὲ), certaines choses…d’autres. L’article a, il est vrai, ce sens indéfini, plus ordinairement dans la construction adverbiale ou il répond a en partie, en partie. </p>
<p>5. ταῦτ', les biens qu’il a désignés plus haut par τηλικούτων. </p>
<p>6. τυχὸν peut-etre </p>
<p>7. περιγίνεται, est acquis. </p>
<p>8. Il n’est pas question ici des impressions agréables, probablement parce qu’elles sont moins fréquentes. </p>"
1-5,Fouillee Commentary,"<p>1. μελέτα, exerce-toi.</p>
<p>2. ἐπιλέγειν, dire a propos de. Voyez plus bas, ch. III, IV, IX, XII, L.</p>
<p>3. οὐ πάντως, pas tout à fait. La négation porte sur le mot qui la suit immédiatement. Πάντως οὐ signifie nullement (Homère, Il. VI. I, 450, etc.). </p>
<p>4. τὸ φαινόμενον, ce que tu représentes. </p>
<p>5. τούτῳ…,  πότερον, la règle qui fait reconnaitre si. </p>
<p>6. διότι est synonyme de ὅτι, qui sert souvent à annoncer une proposition au style direct. </p>"
2-1,Fouillee Commentary,"<p>1. ὀρέξεως ἐπαγγελία, ce que le désir annonce qu'il veut, et non promet. Car le désir, qui ne donne pas, ne peut promettre.</p>
<p>2. ἀποτυγχάνων, sous-entendu οὖ ὸρέγεται</p>
<p>3. ἀτυχής, manque de bonheur, n'a pas le bien qu'il recherche</p>
<p>4. περιπίπτων, sous-entendu ᾦ ἐκκλίνει</p>
<p>5. δυστυχής, malheureux, a le mal qu'il évite.</p>"
2-2,Fouillee Commentary,"<p>1. ἆρον…πάντων τῶν, retire ton aversion de tout ce qui..., c'est à dire cesse de donner pour objet a ton aversion rien de ce qui...</p>
<p>2. ἐπὶ τοῦ παρόντος, quant à présent. Plus tard, quand tu auras fait des progrès dans la sagesse, tu désireras ce qui est bonnète.</p>
<p>3. σοι πάρεστι, est à ta portée.</p>
<p>4. μόνῳ, parce que ὁρμᾶν et ἀφορμᾶν signifient des mouvements de l'amé d'un ordre moins élevé que le désir et l'aversion. Voyez le Lexique. </p>
<p>5. μεθ᾽ ὑπεξαιρέσεως, en faisant des réserves, c'est à dire en prévoyant qu'on n'aura pas ce qu'on recherche, ou qu'on tombera dans ce qu'on veut éviter.</p>"
3-1,Fouillee Commentary,"<p>1. Sur la construction du style direct avec ὅτι, voy. plus haut, page 3, note 5. Un peu plus bas, le tour change, et l'auteur passe au style indirect, ὅτι…καταφιλεῖς. </p>
<p>2. ἄνθρωπον, un être humain, par conséquent mortel.</p>"
4-1,Fouillee Commentary,"<p>1. Dans les bains publics des anciens, on ne se baignait pas dans des cabinets sépares comme aujourd'hui, mais plutôt comme nous nous baignons au bain froid. </p>
<p>2. τοὺς ἀπορραίνοντας, les gens qui vous jettent de l'eau.</p>
<p>3. τοὺς ἐγκρουομένους, les gens qui vous poussent, vous heurtent. </p>
<p>4. on volait souvent des vêtements. </p>
<p>5. καὶ signifie et aussi, et en outre, comme plus bas, ch. xiii.</p>
<p>6. διότι, synonyme de ὅτι, est employé comme plus haut, page 3, note 5, τὸ διὅτι</p>
<p>7 τὰ γινόμενα, ce qui arrive tous les jours Voyez plus bas, ch. xxvi, τῶν γινομένων ἐστίν et la note 3 de la page 22. </p>"
5-1,Fouillee Commentary,"<p>1. ἂν ἐφαίνετο, aurait paru. L'imparfait fait ici fonction de l'aoriste ou du plus-que-parfait, comme dans Thucydide, I, 9, 3: οὐκ ἄν οὖν νήσων...ἐκράτει, εἰ μή τι καὶ ναυτικὸν εἶχεν. On sous-entend ici εἴ δεινὸν ἦν.</p>
<p>2. ἑαυτούς...ἑαυτῶν sont les équivalents de ἡμάς αὐτοὺς, ἡμῶν αὐτῶν. </p>
<p>3. ἀπαιδεύτου, celui qui n'est pas instruit dans la philosophie. Voy. Disc. III, 19, 6.</p>"
